incident,case_number,time_reported,date_reported,location,university,time_occurred,date_occurred
ELEVATOR ENTRAPMENT,13-007695,09:55,2013-03-22,"OLD ENGINEERING HALL - 3943 O'HARA STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-007697,10:35,2013-03-22,"ALLEN HALL - 3941 O'HARA STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-007702,11:15,2013-03-22,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-007710,14:59,2013-03-22,"3501 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-DUMPSTER/TRASH COMPACTOR,13-007721,16:18,2013-03-22,"3900 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-007742,19:51,2013-03-22,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-DUMPSTER/TRASH COMPACTOR,13-007744,20:50,2013-03-22,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
MARIJUANA/DISORDERLY CONDUCT,13-007756,22:24,2013-03-22,"EDWARD H. LITCHFIELD TOWER C - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-007779,01:06,2013-03-23,"EDWARD H. LITCHFIELD TOWER C - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-007790,02:01,2013-03-23,"BOOTLEGGERS - 403 SEMPLE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACCIDENT - NO INJURY,13-007796,02:39,2013-03-23,"320 SEMPLE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
TOWING VEHICLES,13-007808,08:03,2013-03-23,"4200 5TH AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-007815,11:54,2013-03-23,"FRAT 8 (SIGMA ALPHA EPSILON) - 3705 SUTHERLAND DRIVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-007816,12:06,2013-03-23,"SEMPLE ST AND BATES ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISTURBANCE,13-007817,12:19,2013-03-23,"SPORTS MEDICINE BUILDING - 3200 SOUTH WATER STREET PITTSBURGH, PA 15203",University of Pittsburgh-Pittsburgh Campus,NA,NA
VIOLATES UNIVERSITY RULES/REGS,13-007821,14:16,2013-03-23,"SUTHERLAND HALL - 3725 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-007826,16:14,2013-03-23,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
VANDALISM/CRIMINAL MISCHIEF,13-007839,17:20,2013-03-23,"SENNOTT SQUARE - 210 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
HARASSMENT-COMMUNICATIONS,13-007843,17:40,2013-03-23,"RUSKIN HALL - 120 RUSKIN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS PERSON,13-007857,20:26,2013-03-23,"100 N CRAIG ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-007860,20:45,2013-03-23,"DARRAGH ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
BURGLARY REPORT,13-007861,20:46,2013-03-23,"BOUQUET GARDENS G - 235 OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-007866,21:46,2013-03-23,"FITZGERALD FIELD HOUSE - ALLEQUIPPA & DARRAGH PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-007882,00:17,2013-03-24,"FRAT 2 (SIGMA CHI) - 3804 UNIVERSITY DRIVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-007886,00:43,2013-03-24,"300 OAKLAND AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-007887,00:45,2013-03-24,"EDWARD H. LITCHFIELD TOWER B - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-007888,00:58,2013-03-24,"EDWARD H. LITCHFIELD TOWER B - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-007889,01:04,2013-03-24,"5TH AND DESOTO ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-007894,01:30,2013-03-24,"FRAT 9 - 3701 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-007898,02:09,2013-03-24,"EDWARD H. LITCHFIELD TOWER C - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-007903,03:38,2013-03-24,"DAWSON ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
LITTERING,13-007915,09:59,2013-03-24,"FRAT 2 (SIGMA CHI) - 3804 UNIVERSITY DRIVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
BURGLARY REPORT,13-007917,11:56,2013-03-24,"BOUQUET GARDENS E - 250 SOUTH BOUQUET STREET PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-007918,12:03,2013-03-24,"WILLIAM PITT UNION - 3959 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
PROPERTY DAMAGE,13-007921,13:45,2013-03-24,"SALK HALL - 3501 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
BURGLARY REPORT,13-007922,13:47,2013-03-24,"BOUQUET GARDENS H - 249 OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
BURGLARY REPORT,13-007930,16:31,2013-03-24,"BOUQUET GARDENS G - 235 OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
BURGLARY REPORT,13-007942,19:54,2013-03-24,"BOUQUET GARDENS H - 249 OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-007944,21:44,2013-03-24,"WILLIAM PITT UNION - 3959 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-007974,07:49,2013-03-25,"SALK HALL - 3501 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-007985,09:36,2013-03-25,"BIOSCIENCE TOWER 2 - DARRAGH PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
BURGLARY REPORT,13-007987,10:07,2013-03-25,"BOUQUET GARDENS G - 235 OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-007997,14:31,2013-03-25,"HALKET ST AND FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
VANDALISM/CRIMINAL MISCHIEF,13-008007,16:07,2013-03-25,"SOLDIERS & SAILORS GARAGE - , PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-008008,16:37,2013-03-25,"POSVAR HALL - 230 S BOUQUET ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT OF SERVICES,13-008011,17:58,2013-03-25,"Y LOT (CONSOLIDATED INTO DSAC) - DARRAGH STREET PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT FROM A VEHICLE,13-008015,20:08,2013-03-25,"SOLDIERS & SAILORS MEMORIAL HALL - 4141 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-008016,20:19,2013-03-25,"PETERSEN EVENTS CENTER - 3719 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-008049,01:44,2013-03-26,"BQ LOT - 5TH AVE AND N BOUQUET ST PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-008062,08:35,2013-03-26,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-DUMPSTER/TRASH COMPACTOR,13-008069,12:57,2013-03-26,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
WELFARE CHECK,13-008086,16:59,2013-03-26,"240 MELWOOD AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
LOST PROPERTY REPORT,13-008088,16:59,2013-03-26,"SENNOTT SQUARE - 210 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS PERSON,13-008090,17:41,2013-03-26,"HOLLAND HALL - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-008092,18:06,2013-03-26,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-008093,18:41,2013-03-26,"UNIVERSITY CLUB - 123 UNIVERSITY PL PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-008100,19:55,2013-03-26,"5TH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
INTOXICATED PERSON,13-008108,22:12,2013-03-26,"S BOUQUET ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-008110,23:17,2013-03-26,"BOUQUET GARDENS B - 260 SOUTH BOUQUET STREET PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-008164,10:06,2013-03-27,"CLAPP HALL - FIFTH AVE & RUSKIN AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-008167,12:33,2013-03-27,"ALLEN HALL - 3941 O'HARA STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
HARASSMENT,13-008168,12:55,2013-03-27,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
TRAFFIC STOP,13-008174,14:38,2013-03-27,"FIFTH + BOUQUET - , PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
WELFARE CHECK,13-008195,17:40,2013-03-27,"PANTHER HALL - 3805 UNIVERSITY C DR PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
VIOLATES UNIVERSITY RULES/REGS,13-008197,17:49,2013-03-27,"BOUQUET GARDENS G - 235 OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-008205,20:14,2013-03-27,"ATWOOD ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS PERSON,13-008215,22:00,2013-03-27,"BARCO LAW BUILDING - 3900 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-008255,03:46,2013-03-28,"WESLEY W POSVAR HALL - 230 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS ACTIVITY,13-008281,13:00,2013-03-28,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-008289,15:27,2013-03-28,"SUTHERLAND HALL - 3725 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-008297,16:09,2013-03-28,"CHEVRON SCIENCE CENTER - 219 PARKMAN AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-008302,16:56,2013-03-28,"DAYS INN - BANKSVILLE RD PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-008307,18:28,2013-03-28,"PANTHER HALL - 3805 UNIVERSITY C DR PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-DUMPSTER/TRASH COMPACTOR,13-008311,19:51,2013-03-28,"3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-008323,22:04,2013-03-28,"OAKLAND SQ PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-008354,01:38,2013-03-29,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-008355,01:39,2013-03-29,"POSVAR HALL - 230 S BOUQUET ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-008359,02:04,2013-03-29,"300 MCKEE PL PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-008364,02:51,2013-03-29,"SOLDIERS & SAILORS MEMORIAL HALL - 4141 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-008372,07:57,2013-03-29,"519 ZULEMA ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
PSYCHIATRIC NON VIOLENT,13-008376,10:25,2013-03-29,"249 OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ELEVATOR ENTRAPMENT,13-008385,13:37,2013-03-29,"SENNOTT SQUARE - 210 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS PERSON,13-008386,13:51,2013-03-29,"POSVAR HALL - 230 S BOUQUET ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-008412,19:20,2013-03-29,"3725 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-008417,20:02,2013-03-29,"TREES HALL - 2701 ALLEQUIPPA STREET PITTSBURGH, PA 12561",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS VEHICLE,13-008436,22:48,2013-03-29,"100 BURROWS ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-008437,22:49,2013-03-29,"EDWARD H. LITCHFIELD TOWER B - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-008438,22:56,2013-03-29,"PENNSYLVANIA HALL - 3825 UNIVERSITY C DR PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-008439,23:17,2013-03-29,"5TH AVE AND BIGELOW BLVD PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-008451,00:49,2013-03-30,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
TRESPASSING,13-008453,01:18,2013-03-30,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
VANDALISM/CRIMINAL MISCHIEF,13-008458,01:49,2013-03-30,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-008459,02:06,2013-03-30,"SUTHERLAND HALL - 3725 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-008464,03:01,2013-03-30,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
INSTITUTIONAL VANDALISM,13-008469,07:37,2013-03-30,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
PSYCHIATRIC NON VIOLENT,13-008475,12:22,2013-03-30,"3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
BURGLARY REPORT,13-008481,15:36,2013-03-30,"PARKVALE BUILDING - 200 MEYRAN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS PERSON,13-008484,16:18,2013-03-30,"COST SPORTS CENTER - 10 ROBINSON STREET EXT PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-008487,16:33,2013-03-30,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS PERSON,13-008508,21:22,2013-03-30,"200 HALKET PL PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-008509,21:32,2013-03-30,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-008510,21:35,2013-03-30,"RUSKIN HALL - 120 RUSKIN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-008515,22:03,2013-03-30,"SUTHERLAND HALL - 3725 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS PERSON,13-008519,22:54,2013-03-30,"UPMC PRESBYTERIAN - 200 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-008536,01:31,2013-03-31,"5TH AVE AND BELFONTE ST PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
VANDALISM/CRIMINAL MISCHIEF,13-008540,02:22,2013-03-31,"TOWERS - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-008545,03:42,2013-03-31,"FORBES AVE AND MCKEE PL PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI,13-008548,04:30,2013-03-31,"BLVD OF THE ALLIES AND DAWSON ST PITTSBURGH, PA 15",University of Pittsburgh-Pittsburgh Campus,NA,NA
PROPERTY DAMAGE,13-008553,09:01,2013-03-31,"BOUQUET GARDENS H - 249 OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
WELFARE CHECK,13-008558,12:34,2013-03-31,"LOTHROP HALL - 190 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-008560,13:49,2013-03-31,"VICTORIA BUILDING - 3500 VICTORIA ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-008575,20:41,2013-03-31,"HOLLAND HALL - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
WELFARE CHECK,13-008590,00:53,2013-04-01,"HOLLAND HALL - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
PROPERTY DAMAGE,13-008610,09:41,2013-04-01,"RUSKIN HALL - 120 RUSKIN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
BURGLARY REPORT,13-008616,11:32,2013-04-01,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-008618,11:52,2013-04-01,"WESLEY W POSVAR HALL - 230 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
WELFARE CHECK,13-008620,12:15,2013-04-01,"LOTHROP HALL - 190 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-008626,15:19,2013-04-01,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ELEVATOR ENTRAPMENT,13-008669,00:55,2013-04-02,"SUTHERLAND HALL - 3725 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
VIOLATES UNIVERSITY RULES/REGS,13-008685,08:57,2013-04-02,"LAWRENCE HALL - 3942 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-008691,09:38,2013-04-02,"IROQUOIS BUILDING - 3600 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-008698,12:32,2013-04-02,"CRAIG ST AND CENTRE AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
BURGLARY REPORT,13-008720,17:54,2013-04-02,"BOUQUET GARDENS APARTMENTS - 259 OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
LOST PROPERTY REPORT,13-008752,23:01,2013-04-02,"SALK HALL - 3501 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
SMELL OF SMOKE,13-008753,23:08,2013-04-02,"RIDC PPG BUILDING - 600 EPSILON DR PITTSBURGH, PA 15238",University of Pittsburgh-Pittsburgh Campus,NA,NA
WANTED PERSON,13-008781,01:29,2013-04-03,"5TH AVE AND DITHRIDGE ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
K9 DETAIL,13-008794,06:53,2013-04-03,"COUNTY COURT HOUSE - 436 GRANT STREET PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-008800,09:04,2013-04-03,"OLD ENGINEERING HALL - 3943 O'HARA STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
BURGLARY REPORT,13-008807,11:26,2013-04-03,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-008809,12:51,2013-04-03,"CHEVRON SCIENCE CENTER - 219 PARKMAN AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
TRAFFIC STOP,13-008822,16:14,2013-04-03,"3719 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ALARM,13-008842,19:53,2013-04-03,"130 N BELLEFIELD AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-008848,21:45,2013-04-03,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI,13-008874,01:18,2013-04-04,"BIGELOW BLVD AND OHARA ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-008883,03:07,2013-04-04,"3900 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-008906,13:51,2013-04-04,"TOWERS - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-008908,14:19,2013-04-04,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
CAMP SEC AUTH - ALCOHOL VIOLATION,13-008909,15:09,2013-04-04,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-DUMPSTER/TRASH COMPACTOR,13-008915,15:50,2013-04-04,"5TH AVE SIDE TOWERS - 5TH AVE AND S BOUQUET ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-008933,18:11,2013-04-04,"FORBES/COLTART - FORBES AVE AND COLTART ST PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
WELFARE CHECK,13-008955,22:16,2013-04-04,"RUSKIN HALL - 120 RUSKIN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI,13-008976,00:48,2013-04-05,"BIGELOW BLVD AND PARKMAN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-009002,09:01,2013-04-05,"ALUMNI HALL - 4227 5TH AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-009016,13:21,2013-04-05,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
COMPUTER USE,13-009021,14:15,2013-04-05,"THACKERAY HALL - 139 UNIVERSITY PL PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-009022,15:05,2013-04-05,"SALK HALL - 3501 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-009027,16:04,2013-04-05,"5TH AVE AND DESOTO ST PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-009058,22:35,2013-04-05,"LOTHROP HALL - 190 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
